qHardWords,qLength,hasMedia,qDaleChall,Value,Round,Show,aLength
4,13,0,9.14,1600,1,6232,1
9,13,0,15.21,400,1,4748,1
8,14,0,13.35,800,0,4168,2
4,13,0,9.5,1000,0,4155,2
9,16,0,13.31,1600,1,5585,2
2,11,0,7.05,400,0,4835,1
4,14,0,8.84,400,1,6164,1
5,20,0,8.26,600,0,5165,1
5,14,0,9.97,400,1,4307,1
2,4,0,11.73,400,0,4464,1
7,20,0,10.16,500,1,5830,2
4,11,0,10.45,200,0,5892,1
5,16,0,9.36,400,1,5701,1
8,18,0,11.1,400,1,5092,5
5,20,0,8.58,400,1,5038,2
4,21,0,7.69,800,1,4901,1
7,19,0,10.4,400,1,6073,1
7,14,0,12.78,800,1,6006,2
8,14,0,13.35,1000,0,5593,2
4,15,0,8.59,1600,1,4575,2
5,15,0,9.27,1000,0,4816,2
7,19,0,10.4,1200,1,4924,3
3,16,0,7.39,1600,1,4967,1
6,15,0,10.7,800,1,6030,1
6,17,0,10.35,200,0,5961,1
7,14,0,12.23,400,1,5617,3
5,12,0,10.81,1000,0,5055,1
0,4,0,0.2,200,0,5577,2
6,24,0,8.77,600,0,5881,2
2,12,1,7.98,800,0,6241,2
3,4,0,15.68,600,0,4573,1
3,10,0,8.62,200,0,5468,2
5,20,0,8.58,1000,0,4570,2
1,10,0,5.71,400,1,4388,1
1,2,0,11.63,800,0,5312,2
6,13,0,12.13,800,0,6014,1
6,15,0,10.7,800,0,5262,2
4,13,0,9.14,200,0,4869,4
5,19,0,8.73,1200,1,5775,1
5,18,0,8.92,1600,1,4164,1
9,18,0,12.84,600,0,4488,1
5,19,0,8.73,800,1,5003,1
4,19,0,8.04,400,1,4875,2
4,19,0,7.9,1600,1,5928,2
3,12,0,8.18,400,0,5020,2
1,2,0,11.63,1000,0,5879,1
8,21,0,10.17,800,0,6210,2
9,37,1,8.87,400,0,4571,1
8,16,0,12.33,1000,0,4348,2
5,18,0,8.47,400,1,5854,1
7,20,0,10.16,2000,1,4821,2
4,21,0,7.79,200,0,4936,6
5,21,0,8.44,400,1,6289,1
10,19,0,12.89,1600,1,5805,1
7,18,0,10.67,1200,1,5231,1
3,11,0,8.87,1200,1,4973,2
7,16,0,11.34,600,0,5089,3
5,13,0,10.81,800,0,4364,1
3,12,0,8.18,1200,1,4792,2
11,44,1,8.84,800,0,5505,1
4,18,0,8.04,200,0,5445,6
3,6,0,11.83,800,1,4792,1
6,21,0,9.37,800,1,5377,3
2,6,0,9.2,800,1,4541,2
4,13,0,9.14,200,0,6296,2
3,12,0,8.18,600,0,6201,2
10,36,1,9.24,600,0,4999,3
2,5,0,10.2,400,1,4263,1
6,20,1,10.35,1600,1,5621,2
2,7,0,8.5,600,0,5423,1
0,5,0,0.25,1600,1,4629,1
7,12,0,13.44,1200,1,4674,3
1,22,0,1.81,400,1,4177,1
5,18,0,8.92,800,0,5112,1
5,14,0,9.97,2000,1,5478,1
5,17,0,9.36,2000,1,5470,2
4,12,0,9.5,400,1,5324,2
5,13,0,10.81,400,1,5273,3
3,16,0,7.39,1200,1,4265,2
17,43,1,11.2,1600,1,5345,3
5,24,0,8.12,800,1,4493,1
5,16,0,8.97,1200,1,6159,2
6,22,0,9.03,600,0,5880,2
1,17,0,5.41,600,0,4287,1
2,5,0,10.2,400,1,4189,2
4,12,0,9.5,800,1,4947,1
2,7,0,8.5,1200,1,5502,1
6,14,0,11.57,200,0,5135,1
6,14,0,11.57,400,0,5460,2
4,8,0,11.93,800,0,4719,1
4,9,0,11.1,1200,1,5438,2
5,12,0,11.36,400,1,4922,1
2,18,0,6.28,1600,1,4137,1
0,14,0,0.69,800,0,4475,1
2,8,0,8.5,2000,1,6039,2
8,16,0,12.33,1000,0,4615,2
1,15,0,5.43,2000,1,5448,2
14,39,1,11.15,600,0,4778,1
1,3,0,9.05,400,0,4276,1
5,8,0,13.9,1200,1,5241,1
1,12,1,5.71,1000,0,5610,1
3,17,0,7.27,600,0,5055,1
7,17,0,11.34,1000,0,5725,1
2,7,0,8.5,2000,1,5724,2
2,12,0,6.86,800,0,4940,1
6,13,0,12.13,400,0,5952,1
8,22,0,9.74,2000,1,5911,1
4,11,0,10.45,400,0,4507,2
2,3,0,19.53,600,0,5513,1
4,15,0,8.59,600,0,5090,1
6,17,0,10.05,600,0,5216,1
5,21,0,8.44,1000,0,5468,1
5,15,0,9.64,400,1,4843,1
4,18,0,7.98,1000,0,5868,2
4,9,0,11.1,400,0,5849,2
5,12,0,10.81,800,1,4812,2
3,15,0,7.54,200,0,4682,1
4,18,0,8.04,600,0,5847,1
7,14,0,12.78,400,1,5075,3
6,16,0,10.35,600,0,5957,1
2,8,0,7.78,800,1,4145,3
7,17,0,10.98,800,1,4917,1
4,21,0,7.69,2000,1,5576,3
3,11,0,8.49,800,0,4945,1
1,7,0,6.57,800,0,4547,1
6,20,0,9.37,2000,1,4078,1
5,16,0,9.36,1000,0,4737,1
5,13,0,10.35,800,1,5325,1
4,13,0,9.5,800,1,5844,2
2,18,0,6.34,200,0,4123,1
6,22,0,9.19,1000,0,4776,2
16,44,1,10.94,1200,1,5454,5
3,6,0,13.36,800,1,4570,3
6,15,0,10.75,800,1,4150,3
3,23,0,6.88,1000,0,6005,1
6,17,0,10.05,1200,1,4840,2
1,2,0,11.63,2000,1,6003,2
4,14,1,9.5,1000,0,5225,2
7,20,0,10.16,1000,0,5420,2
7,20,0,10.16,400,1,6186,3
4,18,0,8.19,1000,0,5485,3
3,21,0,7,800,1,5843,2
4,18,0,8.04,1200,1,5571,2
5,13,0,10.35,600,0,5910,1
7,18,0,10.67,2000,1,4287,3
4,15,0,8.59,200,0,4540,1
1,5,1,11.63,800,0,5437,5
4,12,0,9.5,200,0,6144,2
5,19,0,8.73,600,0,5020,2
5,22,0,8.32,800,1,4196,1
4,12,0,9.5,800,1,6002,1
3,12,0,8.18,200,0,4396,3
5,15,0,9.64,400,0,4835,2
4,17,0,8.19,1600,1,5245,1
2,7,1,10.2,800,0,4865,3
8,20,0,10.94,200,1,4662,1
4,9,0,11.93,1200,1,5676,2
11,19,0,13.72,1600,1,6167,1
3,14,0,7.93,600,0,4868,4
3,12,0,8.18,800,1,5892,2
3,13,0,7.93,1200,1,5365,1
6,16,0,10.35,1200,1,4395,6
7,18,0,10.98,1200,1,5958,2
7,15,0,11.75,800,1,5122,1
10,43,1,8.5,2000,1,6026,2
6,16,0,10.35,800,1,4662,1
8,12,0,15.67,1600,1,4362,7
3,14,0,7.71,200,0,4729,2
2,7,0,8.32,200,0,5491,1
4,11,0,10.45,1200,1,5368,2
3,10,0,8.87,800,0,5402,3
7,14,0,12.23,1600,1,6277,1
2,9,0,7.59,1000,0,6089,3
5,11,0,11.36,800,0,5417,2
7,17,0,10.98,1600,1,5076,2
7,40,1,7.66,800,0,5171,2
0,5,0,0.25,200,0,5085,1
6,19,0,9.57,800,1,4861,3
2,23,0,6.15,1200,1,4084,2
3,17,1,7.54,1600,1,4858,2
8,17,0,12.8,600,0,5637,2
3,5,0,13.36,800,1,5851,2
7,17,0,11.34,1200,1,4290,1
5,17,0,9.12,800,1,5269,1
6,20,0,9.37,400,0,4606,2
5,21,0,8.44,1200,1,5423,2
5,12,0,10.81,400,0,5555,1
4,14,0,9.5,200,0,4302,1
2,18,0,6.28,1200,1,5718,1
8,14,0,13.35,600,0,5667,1
11,37,1,9.59,1000,0,5841,2
3,11,0,8.49,400,0,5034,1
2,13,0,6.71,400,0,4807,1
3,3,0,19.58,1600,1,6085,4
6,16,0,10.32,800,0,4704,2
6,22,0,9.19,800,1,4850,3
6,14,0,11.1,400,1,4225,1
10,35,1,9.5,1200,1,4546,1
9,20,1,13.31,600,0,4759,2
5,16,0,9.36,800,1,5166,1
6,25,0,8.05,600,0,6104,2
7,20,0,10.16,800,1,6298,1
7,18,0,10.67,2000,1,5268,1
7,13,0,12.78,600,0,5518,2
5,14,0,9.97,1200,1,5008,1
5,17,0,9.12,1000,0,5657,1
9,17,0,13.31,600,0,4451,2
7,19,0,10.67,1000,0,6056,1
7,16,0,11.75,600,0,4637,1
2,11,0,7.29,400,1,4453,2
6,12,0,12.13,400,0,4976,4
1,19,0,5.41,600,0,5985,1
8,16,0,12.33,1600,1,4737,1
4,16,0,7.98,800,1,5946,1
5,12,0,10.81,800,0,5969,2
3,5,0,13.36,200,0,5889,1
4,10,0,10.45,1000,0,5102,1
6,18,0,9.79,2000,1,5755,1
2,5,0,10.2,400,0,6196,1
2,13,0,6.71,400,1,4141,2
2,9,0,7.59,400,1,4646,1
3,5,0,13.36,400,1,5678,2
5,14,1,10.35,1000,0,4092,3
2,3,0,14.31,1000,0,5196,1
2,5,0,14.31,400,1,6175,2
6,15,0,10.7,1000,0,4468,2
5,14,0,9.97,2000,1,4547,2
7,18,0,10.67,400,1,5628,2
5,19,0,8.73,800,0,5433,1
6,17,0,10.35,800,0,5773,2
6,19,0,9.57,1200,1,5745,1
6,16,0,10.35,400,0,4219,1
6,16,0,10.35,800,0,5924,1
3,5,0,15.68,1200,1,5822,2
11,20,0,13.72,400,0,4833,2
5,17,0,9.12,400,0,5902,3
14,42,1,10.53,800,1,4873,1
2,18,0,6.34,200,0,4985,2
6,16,0,10.35,400,1,5067,1
2,7,0,8.5,1600,1,5010,2
5,13,0,10.81,1200,1,4339,1
9,22,0,11.19,800,0,5016,3
7,15,0,11.75,800,0,5460,2
7,16,0,11.38,400,1,4730,5
8,20,0,10.94,1600,1,5165,3
6,19,0,9.57,400,1,5069,2
6,13,0,11.57,1200,1,5684,2
4,12,0,9.5,400,0,4282,2
3,3,0,19.58,200,0,4642,1
6,11,0,12.79,200,0,4349,2
3,15,0,7.54,1000,0,5302,1
7,21,0,9.94,400,1,4304,1
5,11,0,11.36,800,1,5448,2
7,22,0,9.75,2000,1,6133,1
7,16,0,11.38,600,0,4606,1
