x,y
-157.2639084,-276.7154307
113.3052833,-261.492713
108.1338431,739.7915075
-612.3149861,-502.5700646
54.63379489,-465.1024212
1061.573848,-7.902111822
-723.3745165,-308.5009731
-476.5293275,-494.9415726
1186.140657,199.4134405
-327.2345726,-85.93440436
-155.0330829,-476.8977233
-244.3659523,-81.27541888
718.3514062,-227.5027558
241.3964019,346.6434662
194.413454,-457.2499298
295.7808631,-50.91903618
-676.1006909,1096.358902
-60.18380497,-471.56195
-719.1450741,-508.5812599
349.1690956,-448.5562313
-310.2614629,-84.97942471
109.0761318,-61.41764232
-858.9260073,-516.4257524
1165.938833,398.5806852
603.0618205,166.6422845
730.0960683,-26.52029859
-329.7608192,-486.7002769
489.4775805,-40.05488605
-753.5637088,-109.8786128
424.3451842,156.5984742
720.1135737,-27.09126139
493.7022097,-240.1007098
-940.2683558,-120.3765689
-645.7331484,-103.8254992
-579.0756162,100.2400079
299.8308457,750.5653608
-382.565113,1112.859505
321.5045724,150.8378117
20.79448795,1135.54768
-850.9363412,-515.9931265
-774.9458491,1090.809014
-847.1799951,-315.4547252
-868.9109118,-516.9855325
-452.4537419,1108.922893
-763.9634482,1091.429881
-239.1393387,-281.2913328
14.9324442,-667.6497565
54.39817308,-264.802132
719.8203834,-628.044803
-804.428161,688.5296839
242.3374686,-454.5566243
-1076.527031,272.6093559
220.3738758,-455.8014686
215.3800511,-456.0706673
-934.8054657,-520.6939962
642.2349121,-31.46142972
-261.7553588,1119.64253
703.6676588,372.6139264
881.0952723,-218.3616305
-762.9636151,1091.474979
-1056.503409,1074.999115
261.3079205,-453.4904761
1072.265708,-608.2547149
-753.3270891,-310.1879574
-1073.534863,272.8013815
-222.928171,-480.6976712
549.3815378,-36.67947729
-1087.50926,271.9912485
-505.4829639,-496.5739313
-116.8608761,-675.0502444
592.3147679,-34.26964435
-88.84845029,127.7844115
976.2916847,1189.199633
-32.93629039,130.9197852
937.2981176,385.7446545
-180.412723,723.5879095
268.5899114,147.8517827
-173.479453,-77.28172354
-325.5296484,-686.7846791
-324.7127678,314.8488729
-682.9105877,94.4034343
-74.05128704,1130.186896
-972.7465903,-522.8200672
-686.904293,94.17669163
-313.0218894,-285.4446389
1121.951717,-405.1479735
-22.66036596,732.4443659
-810.0030128,-513.6787851
852.1400447,-219.9831146
-1014.915983,-324.8748067
-594.3403338,-501.5800132
338.4236034,-649.4829658
348.4626276,152.3463766
738.6130639,374.571903
574.1079552,165.0178712
865.937828,782.3711099
457.1105464,1160.031341
-222.165519,-280.3421113
-311.2594027,-85.04170912
-702.5901733,694.2614008
-763.074545,-511.059143
264.3031703,-453.323133
272.4021117,1149.651672
-615.7806419,-102.139829
848.4945334,1182.013952
97.56808745,-462.7029997
980.9367408,-212.7463353
-1000.649362,276.8902855
64.73059011,1137.980079
-197.3842872,722.6266106
-913.7817999,281.7426219
352.6916537,-47.72611693
-317.5411783,-686.3437344
722.5807956,-427.5819744
149.2485733,-259.4764709
-1053.507285,1075.164142
1158.65702,-202.7662837
-96.54446927,728.2961309
-572.0864458,100.6348636
620.2704542,-32.69876094
-820.458225,-113.6358177
-588.8211594,-100.6368099
28.67616112,-466.5711036
-218.4082277,-79.80923043
-832.2032248,-314.6134198
1119.191353,-605.6147091
-279.2558112,718.0296789
-875.9028043,-517.3547866
1030.623612,-9.646963781
-567.3854971,-500.0476162
308.5243793,150.1105424
78.83220492,-664.0616868
471.0337906,359.5489399
646.8137895,1170.674686
-146.4653267,725.4908343
693.9178555,171.7535737
460.2837849,158.648466
-389.608155,311.1857755
912.5724955,184.0425285
-458.9729511,707.9348723
744.8371049,174.6188345
-257.6376771,-682.9637492
-938.5640935,-721.2167049
-694.6564289,-106.5693861
-365.7015337,-488.7320503
496.9384043,-440.2661443
990.4515684,188.405777
-204.4287115,-79.03479199
-351.1426665,713.9927724
464.9853386,-442.0379006
938.4769968,-615.7699517
-581.8347531,-100.2303169
445.0752137,358.0861208
-710.1053216,293.1976161
-470.3008078,-694.9183615
-97.1254084,-473.6404058
-280.5449084,117.0066471
-344.9725636,-287.2353914
441.316875,157.5602181
238.6351404,146.1797426
942.8158121,786.6919852
-418.5062549,1110.826903
-519.1703286,103.6119698
-328.5253462,-686.9480347
966.2528084,387.3678752
-898.8073544,282.5943341
-390.1356403,-89.47123678
-93.13298821,-473.4087382
-453.4540181,1108.877031
792.706336,-623.9559259
701.1426439,-28.15655895
167.983964,-58.11113578
-105.0027681,1128.44766
198.698742,143.9344088
77.59780335,-463.8134612
161.7024031,-659.4129454
1064.041025,-408.3918784
-793.7909905,-713.0913086
1038.08432,-409.8601884
-1051.565928,274.0106375
621.8511549,1169.28459
137.0320778,-59.84732698
428.0456397,-444.1286981
912.8079333,-16.25698849
-6.033506829,-668.8337593
-985.4336359,77.40533712
505.9221749,-439.7542395
320.2159664,-450.193646
1016.70201,790.8282077
-264.0989296,-282.6970751
2.24431554,-67.41876639
310.3426161,1151.780081
81.64735024,337.6706472
-169.2480279,-277.3786735
1023.107958,-410.7023767
-58.89506832,129.4617857
441.0244706,-443.3989156
489.2416942,160.2508138
-772.0060885,289.7107135
-151.5127383,-76.06461818
-272.2673644,718.424048
329.7282917,-49.01810285
1062.282153,-608.8147311
-282.3068369,-83.40334267
-632.2829855,-503.6925007
-278.6023585,-684.1533202
527.1814084,162.3867689
-772.532325,-110.9498714
774.6105608,1177.86864
945.2843301,386.1984504
-880.8346188,283.6006175
-759.0835836,-510.8173202
-29.99668991,-670.1711224
-567.8530924,-99.46225567
496.9367018,-440.2572203
139.5560002,340.9275301
955.4495419,-614.8111454
775.2632105,-224.3135964
630.2539069,-32.13502937
-1068.304888,72.76208263
-557.1089115,101.4670933
-1073.002712,673.4252363
-975.6298068,1079.538405
948.9885805,-214.5527216
-44.21045186,-470.6540205
-435.3014098,108.3174794
661.2051302,-30.39308449
-519.6972196,-297.0515754
418.0611691,-444.6892364
940.5285422,185.6122431
559.0739321,-637.0754371
-686.668264,-106.1293218
-999.4639347,-724.659862
-774.8226648,-712.013285
178.4392993,-458.1522672
848.9646828,781.4135409
-685.1991059,-506.6706466
-390.1353706,-89.47180469
900.3008342,-417.5991784
176.2064475,-257.960646
-839.9592591,-515.3353478
-264.8616886,-483.0565277
-762.9632503,1091.47138
719.5857718,-427.7503233
743.7851395,-626.7126661
230.5930259,-655.5397237
-1002.45985,-724.8234527
-398.6508472,-490.5701447
-631.2846946,-503.6383501
-556.6382697,-299.134445
-335.2236884,-86.37549166
336.9532421,-248.9307387
678.8845841,-630.3436113
-231.6213626,119.7493543
641.7071046,-432.1193243
170.5041017,342.6879173
-864.1526011,-316.4030984
-849.827257,1086.599946
-700.409757,-307.2188084
-41.63087042,731.3811516
-873.6638535,-717.5877061
651.2221035,-30.96196309
901.8256013,-16.87723176
-393.6591959,-490.2901829
43.65154343,-465.7256815
1029.680378,791.5653125
832.9346147,-20.74964846
110.8373067,138.9959341
358.1571635,-448.0641988
-806.9514066,287.7498266
49.40332267,-265.0638912
-386.6689425,-489.9044223
1158.130174,-603.4272342
-428.0773281,-91.59189145
843.9745682,781.119086
906.5263569,-617.55711
982.462323,187.9668092
-114.3359335,-274.2800241
-984.6144842,1079.027532
-28.12424735,1132.772215
547.8554919,-437.3932012
946.9903056,-214.6544066
-364.5924326,1113.863005
-1023.610696,275.5844965
-10.49637755,-268.4622707
-176.0026906,-478.061276
-891.5803023,82.67106698
-443.5788929,-493.1005329
-876.8969372,-517.437832
-387.4333332,-690.2521884
-645.1506804,1098.100182
590.8995068,1167.549119
296.8357052,750.3946971
-77.6297357,-71.90343133
530.8828972,-438.3492135
-869.3795922,-116.3985191
-54.1941901,-471.217709
644.9403328,-632.2642418
-307.2668707,-84.80692811
390.1043529,-446.2535841
-523.8692503,704.2831715
667.1959757,-30.05908252
225.47879,1147.001165
489.4770985,-40.05079229
-197.3847163,722.6247246
-375.9227266,-288.9825857
946.227455,-415.0132458
-468.7762277,-294.1993183
959.9720347,-213.9406203
-728.8395844,91.83011836
-938.6861554,1081.599214
-633.2261744,297.5166404
-503.9552819,-95.87089253
-663.9961634,-705.7965331
-550.4121738,-499.0949181
665.7265299,370.4860552
-803.8998252,1089.174101
232.1202522,-254.8303432
-916.2555947,682.2675654
465.5136282,-41.38525864
26.73377176,334.5907808
-648.2578256,-504.5910827
-14.72993322,-68.36037685
572.0539175,-636.3505874
1137.452471,-3.627294979
-288.5892888,-684.7000657
278.2812919,-452.5382125
-911.5504702,81.55725278
990.687129,-11.89400833
754.5873555,375.4707206
98.56521373,-462.6471007
917.2741824,-416.6436923
-682.6207612,695.3732878
-792.5017787,-112.0681241
-291.7077083,1117.958867
1087.533817,-6.44941305
981.1734047,-413.0561581
282.3870637,1150.209063
698.854045,-629.2277582
-773.5297473,-111.0160043
-581.251752,1101.696551
811.5525651,1179.93855
164.0412074,742.9648901
672.1885695,-29.78375741
351.7483651,753.4833701
-41.44966614,-270.191156
-493.7364338,-295.6040767
5.819586143,1134.69826
-547.8905411,-98.30886608
117.0622694,-60.96071246
668.901659,-630.9128511
-550.4120805,-499.09255
-985.1962937,-122.9034508
98.5660036,-462.6454474
-505.482121,-496.5757891
952.8013325,787.2471241
-243.312423,720.0480674
654.9763396,169.5901376
501.9294112,-439.9790753
941.7641373,-14.64155407
906.3472928,384.0041528
-1011.155388,-124.365971
-1027.368071,75.05624936
-1061.312758,73.13744444
-340.7427633,-487.3147413
-775.5278376,-111.1198456
893.8387816,-17.32811132
898.8295045,-17.04185616
133.0389482,-60.07341089
226.5981968,-655.7594112
